date,price
Jan 2000,1194.46
Feb 2000,966.42
Mar 2000,498.58
Apr 2000,452.43
May 2000,420.6
Jun 2000,454.6
Jul 2000,430.83
Aug 2000,517.68
Sep 2000,436.51
Oct 2000,429.4
Nov 2000,314.95
Dec 2000,320.28
Jan 2001,366.01
Feb 2001,239.94
Mar 2001,160.33
Apr 2001,249.46
May 2001,255.82
Jun 2001,224.38
Jul 2001,211.23
Aug 2001,233.58
Sep 2001,140.94
Oct 2001,159.78
Nov 2001,139.45
Dec 2001,148.08
Jan 2002,130.2
Feb 2002,106.73
Mar 2002,147.39
Apr 2002,176.92
May 2002,167.14
Jun 2002,229.82
Jul 2002,311.62
Aug 2002,416.07
Sep 2002,515.28
Oct 2002,685.76
Nov 2002,436.31
Dec 2002,779.82
Jan 2003,455.7
Feb 2003,341.15
Mar 2003,348.18
Apr 2003,316.92
May 2003,363.59
Jun 2003,374.5
Jul 2003,390.31
Aug 2003,328.01
Sep 2003,495.97
Oct 2003,550.71
Nov 2003,458.2
Dec 2003,411.92
Jan 2004,431.13
Feb 2004,444.94
Mar 2004,426.21
Apr 2004,407.3
May 2004,420.68
Jun 2004,440.84
Jul 2004,401.72
Aug 2004,404.24
Sep 2004,414.58
Oct 2004,430.2
Nov 2004,473.82
Dec 2004,411.92
Jan 2005,481.27
Feb 2005,403.6
Mar 2005,480.59
Apr 2005,456.85
May 2005,491.5
Jun 2005,491.33
Jul 2005,434.18
Aug 2005,420.33
Sep 2005,428.81
Oct 2005,407.01
Nov 2005,449.48
Dec 2005,448.29
Jan 2006,480.08
Feb 2006,480.66
Mar 2006,494.87
Apr 2006,410.61
May 2006,470.09
Jun 2006,470.2
Jul 2006,476.66
Aug 2006,403.82
Sep 2006,435.85
Oct 2006,477.94
Nov 2006,400.63
Dec 2006,418.3
Jan 2007,438.24
Feb 2007,406.82
Mar 2007,420.86
Apr 2007,482.37
May 2007,430.62
Jun 2007,403.35
Jul 2007,455.27
Aug 2007,473.99
Sep 2007,426.75
Oct 2007,449.38
Nov 2007,481.14
Dec 2007,468.36
Jan 2008,478.55
Feb 2008,430.63
Mar 2008,422.7
Apr 2008,485.59
May 2008,400.38
Jun 2008,480
Jul 2008,267.38
Aug 2008,282.83
Sep 2008,166.36
Oct 2008,368.75
Nov 2008,396.24
Dec 2008,303.25
Jan 2009,325.88
Feb 2009,335.09
Mar 2009,397.87
Apr 2009,372.81
May 2009,319.14
Jun 2009,319.32
Jul 2009,387.48
Aug 2009,620.62
Sep 2009,657.08
Oct 2009,636.19
Nov 2009,695.63
Dec 2009,615.1
Jan 2010,673.87
Feb 2010,604.49
Mar 2010,640.45
